"id","version","baseMean","log2FoldChange","lcfSE","stat","pvalue","padj","status"
"ENSMUSG00000017639","13",579.605269243739,-1.63803611206866,0.144125118145433,-11.3653756759857,6.21963095240636e-30,8.55696826432067e-26,"down"
"ENSMUSG00000022912","8",3961.51365853514,-1.35855999704317,0.133086805362963,-10.2080742966068,1.82449818715485e-24,1.25507230294382e-20,"down"
"ENSMUSG00000055027","17",328.996291325539,-1.85500170908918,0.201127806811726,-9.22299973581291,2.88902537242051e-20,1.32490703579205e-16,"down"
"ENSMUSG00000075254","11",10693.7650028687,-1.20420627087964,0.136554593005692,-8.81849701554482,1.16006296719578e-18,3.99003657566987e-15,"down"
"ENSMUSG00000032946","16",439.631111121773,-1.25064439615276,0.15050048837544,-8.30990257674708,9.57806756131434e-17,2.63550107017125e-13,"down"
"ENSMUSG00000027875","12",2073.77255952475,-1.9182063311749,0.236296561358851,-8.11779198200783,4.74741603359729e-16,1.08858249650386e-12,"down"
"ENSMUSG00000026043","18",43664.5922106748,-1.39221638240669,0.176225900369285,-7.90018027707204,2.78500330049236e-15,4.92236768778463e-12,"down"
"ENSMUSG00000025780","7",59338.4994052333,-0.968839629945898,0.12268810327629,-7.89676915751239,2.86225770477373e-15,4.92236768778463e-12,"down"
"ENSMUSG00000022037","14",4745.87538626048,-1.5151714690953,0.201909834465538,-7.50419846118945,6.18056065830622e-14,9.44801705966412e-11,"down"
"ENSMUSG00000104802","1",299.378487839086,-1.77090877692082,0.238755295992171,-7.41725443015466,1.19573110278714e-13,1.64508685121455e-10,"down"
"ENSMUSG00000082536","1",2057.16956106362,-1.59695752829841,0.217396494729259,-7.3458292429564,2.04487301598307e-13,2.49990380189743e-10,"down"
"ENSMUSG00000004035","12",367.066905890389,-1.33400858994733,0.181813453138301,-7.33723806968555,2.18046559258389e-13,2.49990380189743e-10,"down"
"ENSMUSG00000010051","15",989.913545421399,-1.27660606383658,0.174948519375107,-7.29703839961861,2.94170860632003e-13,3.11323284659623e-10,"down"
"ENSMUSG00000030751","18",18552.6057117361,0.98261549770117,0.135584134160673,7.2472749395348,4.25240219357087e-13,4.17889638422486e-10,"up"
"ENSMUSG00000015224","10",569.408564443343,-0.996355204946864,0.138379788294449,-7.20014979952697,6.01464441132586e-13,5.51663185406807e-10,"down"
"ENSMUSG00000025579","14",9720.01925987283,-0.755297133840192,0.106018187971018,-7.1242222518146,1.04670030135438e-12,9.00031421627095e-10,"down"
"ENSMUSG00000031903","6",11463.175009199,0.787607602473003,0.111254171113345,7.07935347134617,1.44828543687873e-12,1.17208888473986e-09,"up"
"ENSMUSG00000050708","16",48530.7785366953,0.825195110038358,0.116954191688791,7.05571213928065,1.71718985201774e-12,1.25157384966232e-09,"up"
"ENSMUSG00000017446","14",2615.7483934616,-1.44043561265909,0.204177977699852,-7.05480399446689,1.72844186244979e-12,1.25157384966232e-09,"down"
"ENSMUSG00000024899","6",3373.76940068415,-0.785443644956373,0.114364991614154,-6.86786781401,6.51685623153049e-12,4.48294540166983e-09,"down"
"ENSMUSG00000048758","13",946.243447896308,0.992001329769946,0.147177535257625,6.74016811080245,1.58203479427916e-11,1.03645879522346e-08,"up"
"ENSMUSG00000049422","6",2544.58844218653,1.35107376363881,0.201357984835605,6.70980971895338,1.94878367348848e-11,1.21869844453884e-08,"up"
"ENSMUSG00000057880","12",4235.10023994796,-1.20392475529376,0.179857375181621,-6.69377474278179,2.17486117794231e-11,1.3009452211361e-08,"down"
