"GeneID"	"EPI_ADIPO_KO_840"	"EPI_ADIPO_KO_843"	"EPI_ADIPO_KO_857"	"EPI_ADIPO_KO_891"	"EPI_ADIPO_WT_841"	"EPI_ADIPO_WT_842"	"EPI_ADIPO_WT_858"	"EPI_ADIPO_WT_892"
"ENSMUSG00000101125.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101119.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101668.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101182.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101285.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000100606.1"	0	0	3.32886957991701	0	0	0	0	0
"ENSMUSG00000100012.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101993.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100609.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000100057.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000100579.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000101910.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100238.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101891.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000101426.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101424.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000100085.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101244.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000101317.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101744.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000101100.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000100501.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100614.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000099388.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101943.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100578.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101782.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100073.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000099595.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000099485.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100144.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000100242.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101580.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101422.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000100424.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000101542.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000100089.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000099456.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000101566.1"	0	0	0	0	0	0	0	0
"ENSMUSG00000100401.6"	0	0	0	0	0	0	0	0
"ENSMUSG00000101547.1"	0	0	0	0	0	0	0	0
